word,translation
amurdinnu,bramble
"amurdinnum, murdinnum",bramble?
Amurrum,GN
Amurrum (dMAR.TU),DN
"amursānu, amuršānu",wild pigeon
amursānum,wild pigeon
ana,"to, for"
ana dānika,"for your sake, please"
ana I,"to, for"
ana II,I
ana mīnim (cf. mīnûm),why
anāḫu (v.),to perform an inḫu song
anāḫum (v.),"to be(come) tired, make an effort, strive"
anāku,I
anantum,"battle, strife"
andurārum,freedom
anḫullûm,(a plant)
anḫum,tired
"anīnu, anīni",we
anna,"yes, certainly"
annaku,"tin, lead"
"annanna, f. annannītum","so-and-so, such-and-such"
"annikīam, annekīam, annikêm, annikâm","here, hither"
annû,this
Annugal,DN
annum,"(word of) consent, approval"
annûm,this
annûm (//ne-en),"this, those"
Annunītum,DN
anqullum,"an atmospheric phenomenon, a fiery glow"
"anṣabtu, inṣabtu",ring
anṣabtum,"ring, earring"
Anšan,GN
Anšanum (//an-ša4-an.ki),GN
"anta(l)lûm, ata(l)lûm",eclipse
Antum,DN
Anu,DN
Anum,DN
Anum (//an),DN
anumma,now
Anunnakkū,DN
Anunnakkū (//dA-nun-na),DN
"Anunnakkū, Enunnakkū",DN
"Anunnakkū, Enunnakkū (//a-nu-na)",DN
anuntum,"fight, combat"
anūnu,"fear, dread"
anzaḫḫum (AN.ZAḪ),(a kind of glass)
anzanu(n)zû,"water-table, subterranean waters"
anzillum,taboo
Anzû,DN
apālu (v.),"to pay, answer"
apālum (v.),"to pay, answer"
apālum (v.) (//gi-gi),"G to answer, to pay"
apāni (cf. apāniš),through the window
aparikkum,part of a bowl
"apārum, epēru (v.)","G to cover the head, Gt stat. is decked with"
apâtu,"numerous, teeming"
"apâtum, epiātum","beclouded (epithet of human beings); numerous, teeming"
Apiak,GN
Apil-Adad,RN
āpilum,answerer; a kind of prophet (Mari)
Apišal,GN
Apiwak,GN
apkallum,"wise man, expert"
apkallum (//abgal ),"wise man, expert"
apkallum (ABGAL; NUN.ME),"wise man, expert"
apkallūtum (NUN.ME-lu-tum),"wisdom, expertise, being a sage"
apluḫtum,armour
aplum (TUR.UŠ),"heir, son"
appāru,"reed-bed, marsh"
appārum,"reed-bed, marsh"
appattum,slave mark
appatum,"bridle, rein"
appum,nose
appum (//ki-ri),nose
appum (//kiri4),nose
appūna,moreover
apsûm,(cosmic) underground water
Apsûm (//zu-ab),underground water (cosmic)
Apsûm (ZU.AB),underground water (cosmic)
aptu,window
aptum,"window, window opening"
aptum (//ab),"window, window opening"
apuḫḫu,fear
apum,"reed-bed, reeds"
apum (gišGI),"reed-bed, reed"
Arad-Esagil,PN
araḫḫum,"song, kind of"
Araḫsamnu,MN
Araḫtu,GN
Araḫtum,"GN, major canal in northern Babylonia"
arāḫum (v.),to hasten
"arāḫum, warāḫum (v.)","G to hasten, be urgent; D speed up, do quickly"
arākum (v.),to be long
arākum (v.) (GÍD.DA),"G to be long; D make long, lengthen; Š to lengthen, prolong"
arammu,"causeway, ramp"
arammum,"causeway, ramp"
"arāmu, erēmu (v.)","to cover, (D) cover up"
Aramûm,Aramean
arāmum (v.),to cover
arārum (v.),to curse
arārum II (v.),"to curse, insult"
arārum III (v.),to be convulsed
arba'um,four
Arbail,GN
Ardum,PN
argamannu,purple
arḫiš,"quickly, hastily"
arḫum,half-brick
arḫum I,"fast, quick"
arḫum II (gu4.ÁB),cow
ariktum,"kind of spear, lance; length"
ārirum,priest uttering curses (from arārum)
"arītum, erītum (PEŠ4)",pregnant woman
arkabinnum,door (kind of)
arkum,long
armannum,apricot(?) tree
armum,mountain goat
armūtum,desolation
arnu,"guilt, fault, penalty"
arnum,"guilt, fault, penalty"
arrabu,dormouse
arrabum,"dormouse?, rit., skin of dormouse"
arrakum,very long
arratum,curse
arsuppum,"carp, barb"
artum,"branches, foliage"
aruḫtum,"pregnant woman, lit. quick, fast woman"
arûm (v.),"G to be(come) pregnant, conceive; Š to impregnate"
"arum, erum","branch, frond"
"arum, erum, ḫarum","branch, frond (of date palm)"
Aruru,DN
"arwûm, armûm",gazelle (male)
ašāgum,camelthorn
asakkum,an evil demon
asakkum I (Á.ZÁG),disease caused by the asakkum demon (a kind of)
asakkum II,taboo
Asalluḫe,DN
ašamšūtum,dust storm
ašar,"wherever, where"
ašarēdum (//sag-kal),"first and foremost, pre-eminent"
ašarēdum (//ùz-sag),"first and foremost, pre-eminent"
ašarēdum (SAG.KAL),"first and foremost, pre-eminent, leader"
ašarēdūtum,supremacy
Asarluḫi/Asalluḫi,DN
Asarre,DN
asarrum,a type of literary document
ašārum (v.),"to take care of, check upon, organize, muster, review"
"ašāšu, ḫašāšu (v.)","to be distressed, (D) grieve, distress"
ašāšum (v.),"Gt ~ G, to be distressed; to be aggrieved, angry"
asâtum,female doctor
ašgigûm,(a mineral phps.) arsenic
āšibum,present one
āšipūtum,exorcism
aširtum,"check, inspection, advice"
āširum,"inspector, checker"
aškāpu,leatherworker
"askuppum, askuppatum (I.LU.KUN4)",(threshold) slab
ašlāku,"washerman, fuller"
ašlākum (lúTÚG),"washerman, fuller"
ašlu,"rush, rope"
"ašlu(k)katum, ašru(k)katum",storeroom
aslum,"ram, sheep"
ašnan,"grain, cereals"
ašnan (ŠE.TIR),"grain, cereal"
"ašnugallu, gišnugallu",alabaster
"ašnugallum, aš(šu)nugallum, ušumgallum","snake (kind of), dragon"
"ašnugallum, gišnugallum",alabaster
"ašnugallum, gišnugallum (na4GIŠ.NU11.GAL)",alabaster
asnûm,(date) from Dilmun
aspum,sling
ašrānum,"there, in that very place"
Ašratum,DN
ašriš,"there, thereto"
ašru,"place, site"
ašrum,"place, site, where"
ašrum (//ki),"place, site"
ašrum (KI),"place, site"
assammum,"jug, goblet, drinking vessel"
"aššatu, aštu, altu",wife
aššatum,wife
"aššatum, aštum",wife
assinnu,male cultic prostitute
assinnum,male cultic prostitute
assukkum,slingstone
aššum,because (of)
Aššur,DN
Aššur-bāni-apli,RN
Aššur-nāṣir-apli,RN
