word,translation
Eanna,TN
Ebabbar,TN
Ebabbar (//é-babbar),TN
ebbūbum,"flute, pipe"
ebbum,"bright, pure"
ebbum (//bar6-bar6-ra),"bright, pure"
ebēbum (v.),"to be(come) bright, pure"
ebēḫu (v.),"to gird, belt up"
ebertum,"bank, opposite bank, other side"
ebēru (v.),to cross over
ebērum (v.),to cross over
Ebiḫ,GN
Ebiḫtu,the one of Ebiḫ
ebīḫu,"a rope or girdle, also transf. of city wall"
"ebīḫum, abīḫum","rope, cord"
Ebla,GN
eblu,rope
ebūru,harvest
ebūrum,"harvest, summer"
edēlum (v.),"to shut, bolt"
ēdēnu,alone
"ēdēnûm, wēdēnûm","alone, single"
edēqum (v.),to dress
edērum (v.),G to embrace; N embrace one another
edēšum (v.),to be(come) new
Edimgalkalamma,TN
edlum,"shut, bolted"
edpu,inflated(?)
Edubba,TN
edûm,"flood, wave"
ēdum,"solitary, individual"
edûm (v.),to know
edûm (v.) (//zu),G to know
Eduranki,TN
Edurkuga,TN
Egalkeš,TN
Egalmaḫ,TN
Egasilum,TN
egerrûm,"utterance, ominous utterance"
egērum (v.),"to lie (transversely) across, to sprinkle water"
Egi-ba-tila,FN
Egidda,TN
Egišḫurankia,TN
egītum,"negligence, omission"
egrum,"transverse, crossed, twisted"
egûm (v.),"to be(come) lazy, be negligent"
egûm (v.) III,"to be, become lazy"
"egum, ikkum",a kind of camel-thorn
Ekagula,TN
ēkallu,palace
ēkallum,palace
ēkallum (É.GAL),palace
ēkânu,where
Ekarzaginna,TN
ekdum,"wild, furious"
ekēku (v.),to scratch
ekēlum (v.),to become dark
ekēmum (v.),"to take away, deprive"
ekēpum (v.),"to come close, approach; G (in space, time); D (of time) draw near"
Ekisikk/qqa,TN
Ekišnugal,TN
Ekitušgeštu,TN
ekkemtum,"robber, snatcher-demon"
ekketum,"itching, scabies"
ekkimum,"rapacious, thieving"
ekletum,darkness
ekletum (//ku-ku-ut-te),darkness
eklum,dark
ekmu,"taken away, stolen"
ekṣum,"brazen, dangerous; insolent"
ekûm (NU.SÍG),"impoverished, orphaned, bereaved"
Ekur,TN
Ekur (//é-kur),TN
ēkurru,"temple, chapel"
ēkurrum,"temple, chapel"
ela,exclusively
Elali,PN
Elamatum,goddess of Elam; name of the Bow star
"Elamtum, Elammia",GN
Elamûm,Elamite
elēlu (v.),"to be(come) pure, free"
elēlum (v.),"to be(come) pure, (D) to purify"
elēlum I,cheerful song
elēlum II (v.),"G to become pure, free; D purify"
elēlum II (v.) (//kug),"G to become pure, free; D purify"
elēnum,"above, over"
"elēnum, elānu","above, over"
eleppu,"ship, boat"
eleppum ((giš)MÁ),"ship, boat"
eleppum (//ma),"ship, boat"
elēṣum (v.),to swell; rejoice
eli,"on, over, above, concerning"
"eli, elu","on, above, over"
ēlilum,(a kind of soapwort?)
eliš,above
elītum,that which is above; upper part
elītum (//igi-nim),that which is above; upper part
ella(m)-mê,"pure in divine powers, title of Sîn and Šamaš"
ellēt,with the authority (of DN)
Ellilūtum,"power of Enlil, divine supremacy"
ellu,"pure, clear"
ellum,"pure, clear"
ellum (//sikil),"pure, clear, sacred"
ellum (//za-gìn-na),"pure, clear, sacred"
ellum (KÙ.GA),"pure, clear, sacred"
elmēšu,"a valuable stone, phps. amber"
elmešum,"a valuable stone, perhaps amber"
elpetum,alfalfa grass
elû,upper
elû (v.),"to go up, arise"
Elugalgirra,TN
elûm,upper
elûm (v.),"to go up, arise, (Š) bring up, bring out, enter (on a tablet)"
elûm II,upper
"Elūnum, Ulūlu",MN
"ēm, ēma",wherever
Emaḫ,TN
emāḫum,a temple
Emaš,TN
Emašdari,TN
emēdum (v.),"to lean on, impose, become stationary, (N) get together"
emēqu (v.),"to care for, (D) make, appoint smb. to care"
emēqum (v.),to be wise; Št pray devoutly
emērum (v.),G to swell; N become swollen
Emeslam,TN
Emeslam (mešlammum),TN
Emeteursag,TN
Emeurur,TN
Emišmiš,TN
emqu,"wise, clever"
emqum,"wise, clever"
emqum (//kù-zu),"wise, clever"
emqum (//lú-ḫù-zu),"wise, clever"
"emqum, enqum","wise, clever"
emṣum,hungry
emšum,"lower body, abdomen"
emum,father in law
emuqtu,"carer, housekeeper, prudent woman"
emūqum,"strength, force, army"
emūqum ((LÚ.)USU),"strength, force"
emūqum (//usu),"strength, force"
emūtum,"family of the husband, relationship by marriage"
Enam…,TN
enēbum (v.),to fruit
Enegi,TN
"enenna, eninni",now
enēnum (v.) I,"G to grant a privilege, do a favor, to grant favour, be favourable"
enēnum (v.) II,to punish
Enenura,Enurru-incantation
enēqum (v.),"G to suck; Š to suckle, give suck to"
enēšum (v.),to be(come) weak
enēšum (v.) (//šu-sur),G to be(come) weak; Gt be short (of food)
engurrum,subterranean waters
Eninnu,TN
Enki,DN
Enkidu,PN
Enlil,DN
Enlil (//dEn-líl),DN
Enlil (//e-lum),DN
Enlil (//kur-gal),DN
Enlil-kidinnu,PN
Enlil-nādin-šumi,RN
Enlilbanda,DN
"enna, enni",now
ennēnum,grits
ennenum,malicious
ennettum,sin
Ennugi,DN
ennum,"favor, mercy"
Ennundagala,DN
Enšēda,DN
Ensigalabzu,DN
enšum,weak
"entum, enetum",high priestess
enum,priest
enûm (v.),"to change, replace, substitute"
enūtum,lordship
enzum,"goat, Goat-star (the constellation Lyra)"
enzum (//ùz),"goat, she-goat"
"enzum, ezzum, inzum (ÙZ)","goat, she-goat; she-goat (the constellation Lyra)"
epēqum (v.),"G to embrace, grow over, round; D to embrace, huddle together"
eperum (//saḫar),"earth, soil, dust"
eperum (SAḪAR.ḪI.A),"earth, soil, dust"
epērum (v.),"G to feed, provide for"
epēšu (v.),"to do, make"
epēšum (v.),"to do, make, build, open (mouth), (D) calculate, check, execute properly (a tablet)"
epēšum (v.) (//a-gá-qa),"G to do, make"
epēšum (v.) (//ak),"G to do, make, build; Gt to do throroughly; Št be active, work on; N pass. of G"
epēšum (v.) (//dím),G to do
epinnu,(seed) plow
epinnum (APINx(AK)),"plough, seed plough"
epištum,"deed, action"
epištum (//a-ga),"deed, action, work"
"ēpištum, ēpšātum",sorceress
"epištum, epšetum","deed, action, work"
ēpišum,"doer, maker"
epītum,"baked product, pastry"
"epqēnum, epeqēnum",skin disease (kind of)
epqum,leprosy
epšum,"made, built"
"eqbum, iqbum",heel
eqlu,field
eqlum,"field, terrain"
eqlum (A.ŠÀ),"field, terrain"
Equlû,TN
eqûm (v.),"to anoint, smear on"
erbe,four
erbēšerû,fourteenth
erbum,(sun)set
"erbum I, irbum",income
erbum II (in: ereb dŠamšim (dUTU.ŠÚ.BA)),sunset
"erbûm, eribûm",locust
"erbum, irbum","income, entry fee, gift(s)"
erēbu (v.),to enter
erēbum,"entering, arrival"
erēbum (v.),to enter
erēbum (v.) (//ku4),"G to enter, come in; Š cause to enter, bring in"
erēbum (v.) (KU4),"G to enter, come in; Š cause to enter, bring in; penetrate"
"erēbum, arībum","rook, jackdaw, crow, raven"
erēnu,cedar
erēnum,cedar
erēnum (//e-re-en),cedar
erēnum (gišEREN),cedar
ereqqum,"cart, wagon, Ursa Major"
ereqqum (GIŠ.MAR.GÍD.DA/MAR.GÍD.DA),wagon (the constellation Ursa Major or Big Dipper)
Ereškigal,DN
erešum,queen
erēšum (v.),"to sow, cultivate"
ērib bīti,temple-enterer
ērib bītim,temple-enterer
ēribum,enterer
Eridu,"GN, TN, SN"
Eriš,GN
erištu,"demand, request, need, wish"
erištum,"request, need, demand"
erīšum,"scent, fragrance"
ernittum,"triumph, battle objective"
erpetum,cloud
erpum,cloud ?
Erra,DN
Erra-bāni,PN
Erra-gāmil,PN
errēšum,cultivator
errēšûm,demanding persistently(?)
erretu,"weir, barrage"
erretum I,curse
erretum I (//áš),curse
erretum II,pigsty
errum,"ring, band, headband"
errum III,intestines
erṣetum,"earth, land, underworld, quarter"
erṣetum (//ki),"earth, land, underworld"
erṣetum (//kur),"earth, land"
erṣetum (//úr),"earth, land, underworld"
erṣetum (KI),"earth, land, netherworld"
eršu,bed
eršum,bed
eršum I,wise
eršum IV (GIŠ.NÁ),bed
eršūtum,wisdom
erû (v.),to be naked
Erūa,DN
ērum (MA.NU),tree (a kind of)
êrum (v.),to be(come) awake
erûm I,eagle
erûm II,"grinding slab, grindstone (millstone)"
erûm III,"destitute, naked"
"erûm, arûm","eagle, constellation Aquila"
erūrum (//sar-re-eš),curse
ērūtum,wakefulness
êš,whither?
Esabad,TN
Esagil,TN
Esagila,TN
Esalsukkal,TN
êšam,whither?
Ešarra,TN
Ešasurra,TN
eṣēdum (v.),"G to harvest, reap"
esēḫum (v.),"to assign, allocate"
esēlum (v.),"G to blow up, inflate; N become swollen, inflated, constipated"
eṣēlum (v.),"to lame, to paralyze"
eṣemṣēru,backbone
eṣemtum,bone
eṣemtum (uzuGÌR.PAD.DU),bone
eṣēnu (v.),to smell
eṣēnum (v.),to smell
esēpu (v.),"to gather together, scratch up, collect up"
esēpum (v.),to collect
esēqum (v.),"G to incise, carve"
ešertum,"chapel, shrine"
eṣēru (v.),"to draw, design"
esērum (v.),"G to enclose, confine"
esērum (v.),"to enclose, confine"
eṣērum (v.) (ḪUR),"to draw, design"
ēṣidum,"reaper, harvester"
Esiskur,TN
esittum,pestle
ešītum,"confusion, (political) disorder"
ešrum,tenth
ešrûm,tenth
ešrūtum,justice
eššēšum,a feast day
eššiš,anew
eššum,new
essûm (?),clay pit
Esu,TN
esû (v.),"G to effectuate, bring to pass, Š make pass, banish"
ešûm (v.),to confuse
eṣûm (v.),"to slit, cut into"
Etana,"PN, RN"
etellum,"pre-eminent, lord"
etellum (//nir-gál),"lord, prince, pre-eminent"
etellum (NIR),"lord, prince, pre-eminent"
"etellūtum, etallūtum",supremacy
eṭemmum,ghost (of a dead person)
etēqu (v.),"to go past, go through, cross over"
etēqum (v.),"to go past, go through, cross over, proceed further, (N) be transgressed"
etēqum I (v.),"G to go past, cross over; Gtn iter.; Š caus. of G"
etēqum II (v.),"to bend, cut, break"
eṭērum (v.),"to take away, save"
ētiqum,passer-by
Ēṭiru,FN
ēṭirum,savior
eṭliš,manly
eṭlum,"manly, young man"
eṭlum (//guruš),"manly, young man"
eṭlum (GURUŠ; ŠUL),manly; young man
eṭlūtum,manliness
"etpušu, etpešu","effective, capable"
ettum,unique
eṭû (v.),"to be(come) dark, dim"
eṭûm,"dark; anxious, impatient"
Eturkalamma,TN
Eturkalammītum,DN
eṭûtum,darkness
Eudgalgal,TN
Eulla,TN
Eulmaš,TN
Eulmaš-šākin-šumi,RN
Eumuša,TN
Euršaba,TN
Eursag,TN
Euʾul,TN
ewûm I (v.),"G to become, turn into; Š make s.o./s.th. like"
ewûm II (v.),G to impose on
ezēbum (v.),"to leave, leave behind, abandon, (Š) save, rescue"
ezēḫum (v.),"G to gird on, strap on, tie on"
EZEN×KAS,GN
ezērum (v.),to curse
ezēzum (v.),"to be(come) angry, rage"
ezib,except (that)
"ezib, ezub","except, apart from, in addition to"
Ezida,TN
ezzērum,curse
ezziš,"furiously, fiercely"
ezzum,"furious, angry, fierce"
É-Šū-imgur,TN(?)
gabaraḫḫum,"rebellion, breast-beating, panic(?)"
gabbu,"totality, all"
"gadalalûm, gadalûm","linen fabric, used as curtain in temple"
gagûm,a building of the temple district
Gaḫal-Tutu,FN
galālu,stone(s)
galamāḫum,chief dirge singer
galātum (v.),"to tremble, be afraid, (D) frighten"
gallābum (ŠU.I),"barber, hairdresser"
gallum,rolling
gamālum (v.),"to do a favor, spare"
gamārum (v.),"to bring to conclusion, complete"
gamārum (v.) (TIL),"to bring to conclusion, complete"
gamertum,total annihilation
"gamertum, gamirtum",completeness
gāmilum,"merciful, sparing"
gāmirūtum,"strength, efficacy"
gamlum,"bent stick, crook"
gamrum,"whole, complete"
gana,"come on, yallah!"
gangiṭṭum,"song, kind of"
ganūnum,storeroom
gapāšum (v.),"to rise up, swell"
gapnu,bush
gappum,wing
garāḫum (v.),G to have intercourse?
garāšum (v.),garāšum (v.)
gašārum (v.),"to become strong, powerful"
gašīšum (//gazinbu),"stake, pole"
gašrum,"very strong, powerful"
gaṣṣum I,"cruel, murderous"
gaṣṣum III (IM.BABBAR),gypsum
gâšum (v.),"to run, hasten"
gattum,"form, physical build"
Gazbaba,DN
Gazza,RN
"gazzum, kazzum",shorn
"gegunnûm, kikunnûm",raised temple
"gergiššum, girgiššum",red skin disease (a kind of)
germadû,"floor timbers (of ship), poles for the slipway"
gerrānum,"wailing, lamentation"
gerrum,"way, caravan, (military) campaign; marching song?"
"gerseqqûm, girsaqqûm",palace/temple attendant
gerû (v.),"to be hostile to, attack"
gērûm,"enemy, adversary"
"gērûm, gārûm","opponent, enemy"
gešḫurum,"drawing, design"
gešûm (v.) (//si-il),to belch
Gī-Sîn,PN
Gibbilû,DN
Gibil,DN
giddagiddû,eye condition
Gilgameš,PN
gilittum,terror
gillatum,"sin, sacrilege"
gillum,a piece of reed
"gilšum, giššum",hip(-bone)
gimillum,requital
gimirtum,totality
gimirtum (//til),totality
gimratum,totality
gimrum,totality
"ginâ, ginû","constantly, usually"
ginûm,"regular contribution (to temple), regular offering"
gipšum,mass
Girda,DN
giridûm,"way, road"
girimmum,fruit (a kind of)
Giritab,GN
girītum,"a kind of fish, perhaps muraena"
Girni-isa,PN
Girra,DN
Giršûm (GÍR.SUki),GN
"gīrum, Girra (dGÌRA)",fire(-god)
gišallu,"boat-pole, rudder"
Gišbanda,GN
gišburru,"releasing wood (part of a door, a ritual instrument)"
gišGAN.U5,(a tree)
gišginûm,"a wooden closure, phps. clamp"
gišḫurrum,"plan, design, magical design in flour"
gišimmaru,date palm
gišimmarum,date palm
gišimmarum (gišGIŠIMMAR),date palm
giskimmum,"sign, omen"
"gišparrum, gišperrum","trap, snare"
gišrum,"(wooden) bar, bridge"
giṣṣum,thorn(-bush)
gišûtum (//bu-lu-úḫ),"eructation, belch"
gitmālum,"perfect, ideal, noble"
giṭṭum,oblong tablet
gizillûm,torch
gizillûm (GI.IZI.LÁ),torch
Gizzānītum,SN
Gubaru,PN
gugallum (//gú-gal),irrigation controller
gugallum (GÚ.GAL),"canal-inspector, irrigation controller"
gugittum,shout(?)
Gula,DN
Gungunum,PN
gunnuṣum,"nose-wrinkling, sneering person"
guprum,shepherd’s hut
gurnum,average quality
Gušaya,DN
gūštu,whirling dance
gūštum,whirling dance (connected to dGušaya?)
gušūrum,"tree-trunk, beam, log"
Gutium,GN
guzalûm,"chair-carrier, throne-bearer"
"guzalûm, kuzallûm","chair-carrier, throne-bearer"
ḫā'iltum,who is in labour
ḫā'iṭum,"watcher, night-watchman"
ḫā'iṭum (//igi-nígin),"watcher, night-watchman"
ḫa-al-li,?
ḫa-li-ba-tum,milking (cows)
ḫabābum (v.),"G to murmur, chirp, twitter"
ḫabālum (v.),"to do wrong, commit violence"
ḫabālum II (v.),"to do wrong, violence to"
ḫabarattum,clamor
ḫabārum II (v.),"G to be thick, solid; transf. of command: is weighty, authoritative"
ḫabāsum (v.),to bind
ḫabātum (v.),"to rob, plunder"
ḫabbātum,"plunderer, bandit"
ḫābilum,"criminal, wrongdoer"
ḫābilum I,"criminal, wrongdoer"
ḫābilum II,trapper
ḫablum,"wronged, wronged person"
Ḫabūr,GN
Ḫadaniš,DN
"ḫadānum, adānum","fixed date, time limit"
"ḫadašum, kadašum",celebration
ḫadîš,joyfully
ḫadû,"joyful, happy"
ḫadûm (v.),"to be joyful, rejoice"
ḫadûm I,joyful
ḫadûm III (v.),"G to be joyful, rejoice"
Ḫaḫḫum,GN
ḫaḫḫūru,raven
ḫakāmum (v.),"to understand, apprehend, D ~ G"
ḫalālum (v.),"to creep, slink"
ḫalālum II (v.),to pipe; murmur
ḫalālum III (v.),"to creep, slink"
Ḫalanku,GN
ḫalāpum (v.),"to slip into, through, (D) clothe someone with"
ḫalāqu (v.),"to be lost, be(come) fugitive, (D) lose, owe a loss, banish, abolish"
ḫalāqum (v.),"to be lost, be(come) fugitive, (D) lose, destroy"
ḫalāṣu (v.),"to comb out, filter"
ḫalāṣum (v.),"to comb out, filter"
ḫalḫallatum,drum (a kind of)
ḫāliṣtu,(female) wool-comber
ḫalīṣum,flayed (animal) skin
ḫallu,(upper) thigh
ḫallum,crotch; thigh (upper)
ḫallūru,"peas, chick-pea"
ḫallūrum (GÚ.GAL),peas
ḫalpûm,"frost, ice"
ḫalṣum,"combed, filtered, pressed"
ḫalṣum (//ha-ra-an-kalag),"fortress, district"
ḫālum,maternal uncle
ḫâlum (v.),G to be in labour
ḫamadīrum,parched; withered
ḫamāmum (v.),"to gather, to unite"
ḫamāṣu (v.),"to tear off, away, (D) strip, flay, plunder"
Ḫamatu,GN
ḫamāṭum (v.),"to hasten, be quick"
ḫamāṭum (v.) II,"G to hasten, be quick; D hurry"
ḫamāṭum (v.) III,G to burn up; D make burn
"ḫammāʾum, ḫammûm","rebel, usurper"
ḫammā’um,rebel
ḫammum I,family head
ḫammum II,"pond, puddle"
Ḫammurāpi,RN
ḫamrum,chosen one
ḫamšiš,fifthly
ḫamšīšu,five times
"ḫamšum, ḫanšu",fifth
"ḫamṭiš, ḫanṭiš",quickly
"ḫamṭu, ḫanṭu",quick
ḫamû (v.),to paralyze
ḫamûm I (v.),to paralyze
Ḫamusisi (//ḫa-mun-si-sá),"""just harmony"", DN"
ḫamuttum,haste
Ḫana (ḪA.NA),GN
ḫanābu (v.),"to sprout, flourish, (Dt) grow luxuriantly"
ḫanābum (v.),"to sprout, flourish"
ḫananābum,a sweet fruit (?)
ḫanāqum (v.),"G to press, throttle; D to suffocate, throttle"
ḫandūḫum,part of a lock
ḫandūrum,spur
"Ḫanigalbat, Ḫabigalbat",GN
Ḫaniš,DN
ḫannāmum,"very luxuriant, blooming"
Ḫanûm,from Hana
ḫapātum (v.),"to triumph, prevail"
ḫarābum (v.),to be(come) deserted
ḫarāru (v.),"to dig, hollow out"
ḫarāšum (v.),to be in labor
"ḫarbakkannu, ḫurba(q)qannu","a bird, also as ornament, of gold"
ḫarbum,deserted
ḫarbum I,"deserted, desert, abandoned land"
ḫardum,awake
ḫargallum,locking ring
ḫarḫarum,"villain, rogue"
ḫarḫasannum,ear (outer)
ḫarībum,ruination?
ḫarimtu,(temple) prostitute
ḫarimtum (KAR.KID),"harlot, (temple) prostitute"
ḫarinnum,"(water-)bag, skin"
ḫarištu,woman in confinement
ḫarištum,woman in confinement
"ḫarīṣu, ḫirīṣu","(city) ditch, moat"
ḫarmum,"lover, consort"
Ḫarran,GN
ḫarrānu,"way, road"
ḫarrānum,"way, road, journey"
ḫarrānum (KASKAL),"way, road, journey"
ḫarru,water channel
ḫarrum,water channel
ḫarû,a sanctuary
"ḫarû, ḫāru",a sanctuary
ḫarūbu,carob (tree)
ḫârum,donkey stallion
ḫaṣābu (v.),"to break off, trim"
ḫaṣābum (v.),to break off
ḫašāḫum (v.),"to need, desire"
ḫašālum (KUM; GAZ),"G to crush; D to crush, pound up"
ḫašālum (v.),to crush
ḫaṣānu (v.),"to hug, take under one's protection"
"ḫaṣānum, ḫasānum (v.)","to hug, take under one's protection"
ḫasārum (v.),"G~D to flake away, chip off"
ḫašāšu (v.),"to swell, be happy, (Dt) be made to rejoice"
ḫašāšum (v.),"G to swell, be(come) happy Gtn iter. of G"
ḫasāsum (v.),"to be conscious, remember, be aware, mindful"
ḫaṣāṣum (v.) I,to snap off
ḫaṣbattum,a pottery bowl
ḫaṣbum III,"pottery, terracotta, potsherd"
"ḫasḫastu, ḫašḫaštu","a tree(?), needle"
ḫašḫūrum,apple (tree)
ḫasīsu,"ear, wisdom"
ḫasīsum,"ear, wisdom"
ḫāsisum,"intelligent, learned"
ḫaṣṣinnum,axe
ḫassum,"clever, wise"
ḫassum (//gašam),"intelligent, clever, wise"
ḫašûm,thyme
ḫašûm (//ḫa-še),thyme
ḫašûm (v.),"G~D to crush, chop"
ḫašūrum,cypress
ḫašūtum,a plant
ḫatāpum (v.),"to slaughter, sacrifice, break"
ḫaṭṭārum,scepter-bearer(?)
ḫaṭṭu,"stick, scepter"
ḫaṭṭum,"stick, scepter"
ḫaṭṭum (//giš.gidru),"stick, sceptre"
ḫaṭṭum (gišGIDRU),"stick, sceptre"
ḫaṭû (v.),"to do wrong, commit crime"
ḫātum,"terror, panic"
ḫaṭûm (v.),"to do wrong, commit crime"
"ḫātum, ḫattum","terror, panic"
ḫāwirum,husband
ḫāwirum (//mu-ud-na),husband
"ḫāwirum, ḫāmirum",husband
"ḫawû, ḫamû (v.)","to howl, whine"
ḫayyaltum,woman in labor
ḫayyāṭum,inspector; epith. of deity; desig. of demon
ḫāzûm,croaker (a bird)
ḫegallum (ḪÉ.GÁL),"abundance, productivity, prosperity, plenty"
"ḫengallum, ḫegallum","plenty, SN"
ḫepû,broken
ḫepû (v.),"to break, destroy"
ḫepûm,broken
ḫepûm (v.),"to break, ruin, crack, crush, destroy"
ḫepûm (v.) (//gi4),"G to break, ruin, destroy; N to be broken"
ḫerīnum,"ḫerīnum-weed, kind of grass"
ḫeršu,a furrow or ditch
ḫerûm (v.),"G to dig, excavate"
ḫerûm (v.) (//bal),"G to dig, excavate"
ḫiādu (v.),"to say, pronounce"
ḫiālum (v.),"to be in labour, exude, G to be in labour"
ḫīapum (v.),"to purify, to cleanse"
"ḫiāpum, ḫâbum (v.)","to cleanse, purify"
ḫiārum (v.),"to choose, look out, prepare"
"ḫiārum, ḫârum (v.)","to choose, seek out, (Gt) woo one another, (D) set apart"
ḫiāšum (v.),"to hurry, hasten"
ḫiāṭum (v.),"to supervise, check, examine"
"ḫiāṭum, ḫâṭum (v.)","to supervise, check, watch (over)"
ḫībum,beloved
"ḫidiātu, ḫidâtu","joy, rejoicing"
"ḫidiātum, ḫīdâtum","joy, rejoicings"
ḫidûtum,"joy, rejoicing"
"ḫidûtum, ḫudûtum",joy
ḫilimmum (ḫilammum),grasshopper
ḫilṣum,"a fortification, part of temple"
ḫīlū,labor pains
ḫimētum,"butter, ghee"
"ḫimētum, ḫemētum","butter, ghee"
ḫimmatum,collection
ḫinnu,ship's cabin
ḫīpu,"break(age), broken place, quarried"
ḫīpum,break
"ḫirītu, ḫarītu","ditch, channel"
ḫirītum,"ditch, channel"
ḫīrtum,wife
ḫiṣbum,"luxuriance, plenty"
ḫišiḫtum,"requirement, things needed"
"ḫiṣnu, ḫiṣinnu",protection
ḫiššā'um,noble
ḫissatum,"understanding, mention, wisdom"
ḫissatum (//sí-sí?),"understanding, mention"
"ḫiṣṣu, ḫiṣṣītu",reed bundle
"ḫiṭītu, ḫaṭūtu","shortfall, loss, crime, sin"
ḫiṭītum,"sin, flaw, defect"
ḫīṭum,"error, lack, crime"
Ḫu-numun,PN
ḫubbulum,indebted
ḫubbum,"buzz(ing), whining, consecration by purification"
ḫubbušum,swollen up (human body part?)
ḫubtum,"robbery, plunder"
ḫubullum,"debt, interest-bearing loan, interest"
ḫūbum,cleaning
ḫubūrum I,beer jar
"ḫubūrum II, ḫuburrum","bustle, clamour"
ḫūdum,"happiness, pleasure, joy"
Ḫudura,GN
ḫuduššum,frog
ḫuḫārum,bird-snare
ḫulālu,a valuable stone
ḫulālum (na4NÍR),"stone (valuable, a kind of)"
"ḫulamīsum, ḫulamēsum",a tree
ḫullālānītum,a kind of priestess(?)
ḫullānum,"(cloth) cover, wrap, blanket"
ḫullum (//ùl),"neck ring, torc"
"ḫullum, ullum","neck ring, torc, yoke"
ḫulmiṭṭu,"dragon, a kind of lizard"
ḫulû,shrew
Ḫumānum,GN
ḫumātum (//šu),part of body
Ḫumê,GN
ḫummûm,paralyzed
"ḫumṣīru, ḫab(a)ṣīru",(large) mouse
ḫuppudum,blind
ḫuppum,"hole, pit"
ḫupšum,"(member of) lower class, labor gang"
Ḫupšum-Kipi,PN
ḫurāṣu,gold
ḫurāṣum,gold
ḫurāṣum (KÙ.SIG17; KÙ.GÌ),gold
Ḫurba-tila,RN
ḫurbāšum,"frost, terror"
ḫurdatum,female pudenda
"ḫurdum, ḫuradum",door mat
ḫurri,ever (after)
ḫurru,hole
ḫurrum,hole
ḫurrum (//ḫabrud),hole
Ḫursag (d-ḫu-ur-sag),DN
Ḫursagkalamma,GN
Ḫursānum,DN
ḫursānum,"place of the river ordeal, place of the riverordeal"
ḫuršānum (ḪUR.SAG),mountain(s)
ḫuršum,(kitchen) storehouse
ḫušaḫḫum,"need, shortage, famine"
ḫusārum,"hematite(?), lapis lazuli(?)"
ḫusārum (na4ZA.GÌN),lapis lazuli
ḫušûm,(metal) scrap
ḫuṭārum,"branch, stick, staff, scepter"
ḫutpum,arrowhead of bronze
Ḫuwawa,PN
ḫabbūrum,"sprout, shoot"
i,"let's, come on"
i-ša-al (v.),?
Ibbi-Tutu,PN
ibissûm,financial loss
Ibni-Enlil,PN
Ibrat,GN
ibratum,(outdoor) cult niche
ibrum,"friend, colleague"
"ibrum, ebrum","friend, colleague"
"Id, Ittu",River(-god)
Ida-maraṣ,GN
Iddaḫedu,VN
Iddin-Damu,PN
Idiglat,"GN, Tigris"
Idiglat (//íd.idigna),"GN, Tigris"
Idiptu,DN
Idiqlat,GN
idirtum,"grief, misery"
ídLU.UḪ.DA.X[ x ]?,GN
idrānum,"potash, salt"
idu,"arm, side, by, next to"
idum,"arm, side"
idum (//á),"arm, side"
idum (Á),arm; side; strength; wage
"Igalimma, Iqalia",DN
igāru,wall
igārum,wall
igigallum (//igi-gál),"wisdom, wise man"
igigallum (IGI.GÁL),"wisdom, wise man"
Igigi,Igigi
Igigû,"DN, the (ten) great gods"
igiṣītum,(a priestess)
igitallûm,monoculus
igûm,prince
iḫenunnakku,"oil of plenty, precious oil"
iḫzum,"setting, mount"
iḫzum (//níg-zu),"learning, education"
ikiltum,darkness
ikkaru,"farmer, plowman"
ikkibum,taboo
ikkillu,"lamentation, clamor, uproar"
ikkillum,"lamentation, clamor, uproar"
iklum,darkness
ikribum,"prayer, dedication, blessing"
ikûm,"field, the constellation Pegasus, TN"
"īkum, ēkum, īgum","dike, ditch"
Ilaba,DN
Ilabrat,DN
ilat balāṭim (DINGIR TIN.NA),"DN, goddess of life"
ili bītim,god of the house
"iliš, eliš","to, on, like a god"
ilittum,"birth, offspring"
ilkum,(state) service
illaru,a maltster's tool
illatu,"band, group, family, clan"
"illātum, elliātum",saliva
"illatum, illitum, ellutum","band, group, clan"
illurtu,"handcuffs, manacle, oarlock"
illūrum,red (flower)
Ilšu-Iqiša,PN
iltu,goddess
iltum,goddess
iltum (DINGIR),goddess
ilu,god
ilum,god
ilum (//di-im-ga(r)),"god, deity"
ilum (//di-ir),"god, deity"
ilum (//di-wi-ir),"god, deity"
ilum (DINGIR),"god, deity"
ilum (DINGIR) (//dingir),"god, deity"
ilūtum,"godhead, divinity"
"imbarum, ibbarum","fog, mist"
imbû tâmti (KA.A.AB.BA),"algae, scum on sea"
"imdu, indu","support, position"
imdum,support
imēru,donkey
imērum,donkey
imērum (//di-bi-da),donkey
imērum (ANŠE),donkey
imḫullum,"destructive wind, storm"
imḫur-līm,(a plant)
imiṣ īni,"torn-eyed, torn (said of eye)"
imittum,"right side, the right"
imittum (//á-zi-da),"right hand, right side"
immertum,ewe
immeru,sheep
immerum,sheep
immerum (//udu),sheep
immerum (UDU),sheep
immum,"heat, daytime"
imnum,"right (side, hand)"
imru,observation
imrum (//igi-bu4 túl-lá),eye-sickness or a cold (?)
imtu,poison
imtum,"poison, venom"
In-dim-É-a,PN
ina,"in, on, by, from"
ina qāt (cf. qātum),"by agency of, through"
ina ṣērim (cf. ṣērum),"on(to), over, towards"
inanna,now
inbum,fruit
Indagar,DN
indūrum,a water skin
Ingi,PN
inḫu,a type of cultic song
inḫum I,suffering
inḫum II,song
innaḫûm,luxuriant(?)
inšiš,deceitfully
Inšušinak,DN
